,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Test.gain.with.only.woody_savannas,1.1386,1.1037,1.1908,1.2723,1.1606,0.968,1.3931,0.8471,1.3647,1.3192,1.1758
AUC.without.annual_mean_temperature,0.5487,0.9868,0.9867,0.5604,0.573,0.9687,0.5731,0.9823,0.9895,0.9855,0.8155
AUC.without.annual_precipitation,0.964,0.9881,0.9681,0.9821,0.9858,0.9819,0.5851,0.9856,0.6463,0.9849,0.9072
AUC.without.barren_vegetation,0.5121,0.9898,0.9775,0.9829,0.9845,0.9824,0.5066,0.985,0.9896,0.9862,0.8897
AUC.without.closed_shrubland,0.965,0.9903,0.9728,0.9822,0.9843,0.9819,0.9923,0.6097,0.991,0.9869,0.9456
AUC.without.croplands,0.99,0.9904,0.9864,0.9841,0.5852,0.9794,0.9914,0.9842,0.9895,0.9862,0.9467
AUC.without.deciduous_broadleaf_forest,0.961,0.9906,0.9633,0.9797,0.9835,0.9819,0.9895,0.9854,0.9909,0.9867,0.9813
AUC.without.deciduous_needleleaf_forest,0.9666,0.9902,0.97,0.9798,0.9516,0.9818,0.5731,0.985,0.9903,0.9869,0.9375
AUC.without.evergreen_broadleaf_forest,0.9654,0.9901,0.9767,0.9818,0.4995,0.9817,0.5731,0.9849,0.9904,0.9868,0.893
AUC.without.evergreen_needleleaf_forest,0.9907,0.9892,0.9659,0.979,0.9834,0.9816,0.992,0.9844,0.9908,0.9884,0.9845
AUC.without.grasslands,0.975,0.9896,0.9866,0.9846,0.5729,0.9836,0.9921,0.9841,0.9907,0.9883,0.9447
AUC.without.mixed_forests,0.5365,0.6096,0.9885,0.9856,0.9845,0.9821,0.9925,0.9849,0.9919,0.9861,0.9042
AUC.without.open_shrublands,0.9637,0.9898,0.9669,0.9832,0.9858,0.9846,0.9927,0.5609,0.9908,0.9874,0.9406
AUC.without.precipitation_seasonality,0.9652,0.9906,0.9694,0.9825,0.9844,0.9808,0.9917,0.984,0.9906,0.9873,0.9826
AUC.without.savannas,0.9633,0.9898,0.9657,0.9833,0.9853,0.9834,0.99,0.5487,0.9909,0.9849,0.9385
