annual_precipitation,precipitation_seasonality,annual_mean_temperature,temperature_seasonality,urban_areas,croplands,snow_ice,wetlands,mixed_forests,evergreen_needleleaf_forest,evergreen_broadleaf_forest,deciduous_needleleaf_forest,deciduous_broadleaf_forest,closed_shrubland,open_shrublands,woody_savannas,savannas,barren_vegetation,grasslands
B_sporadicus,4.5686,3.5742,42.9504,9.3531,0.5488,24.5423,0.2002,0.948,2.5775,0.8402,0,0.0632,0.0253,0.0344,0.547,3.4611,0.3587,0.1388,5.2682
B_subterraneus,1.4819,2.333,32.4268,41.6383,1.0568,6.2296,0.0137,0.0385,1.7196,0.9089,0,1.2453,0.0332,1.6997,1.2636,0.7686,0.415,4.0678,2.6598
B_sulfureus,0.0268,1.1416,0.0072,9.3119,0,8.6146,0.1349,0,8.7025,1.1761,0,0,0,0.016,2.2389,0,0,54.0843,14.5452
B_sylvarum,19.9226,9.8303,31.5023,23.441,0.6675,2.0773,0.4184,0.0898,0.9713,0.7123,0,0.3711,0.7644,0.4439,2.7962,0.2647,0.1882,3.4613,2.0775
B_sylvestris,5.4924,21.8961,21.8893,33.8521,0.4315,2.7641,0.7223,0.228,1.2304,0.8891,0,0,1.6501,0.051,0.6227,0.6962,0.0615,6.5003,1.0227
B_terrestris,8.1718,4.8627,14.7711,55.517,1.5287,3.8294,0.1729,0.0414,1.427,0.4952,0.0046,0.1337,0.5564,0.0674,0.6506,1.9787,0.556,3.3341,1.9014
B_velox,0.0289,1.0421,41.1301,3.6697,0.0313,1.1858,3.3377,2e-04,13.1738,0.9842,0,0,0.0144,0,13.3003,10.8371,0,11.1752,0.0892
B_vestalis,11.1817,1.0654,12.2721,49.6722,2.8581,3.5694,1.2627,0.187,0.7331,0.3097,8e-04,0.1082,0.2978,0.2138,1.2529,6.8997,0.109,6.6056,1.4009
B_veteranus,8.1952,2.4123,56.919,5.649,0.6581,2.7712,0.026,0.5651,2.0025,0.8101,0,0.7097,1.2379,0,3.9253,4.5914,0.0594,1.2761,8.1916
B_wurflenii,8.5816,3.0044,33.117,40.1255,0.4374,1.6543,0.4293,2.3784,1.9371,0.4647,0.0026,0.0142,0.7011,0.0575,1.4598,0.731,0.8815,2.3638,1.6588
B_zonatus,3.8958,3.9138,37.3271,17.8241,0.9007,3.6831,0,0.1122,4.2833,0.8585,0,0.0344,1.8018,1.2169,0.9545,2.0047,0.7654,1.15,19.2738
