,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X10.percentile.training.presence.Cloglog.threshold,0.0809,0.099,0.0807,0.0979,0.0997,0.074,0.0779,0.0913,0.0916,0.0786,0.0872
X10.percentile.training.presence.area,0.0888,0.0858,0.0911,0.086,0.0806,0.0955,0.0896,0.0912,0.0867,0.0943,0.089
X10.percentile.training.presence.training.omission,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099
X10.percentile.training.presence.test.omission,0.1319,0.0972,0.1181,0.1181,0.1667,0.1319,0.1667,0.1042,0.1111,0.1111,0.1257
X10.percentile.training.presence.binomial.probability,0,0,0,0,0,0,0,0,0,0,0
Equal.training.sensitivity.and.specificity.cumulative.threshold,6.838,7.9586,6.801,8.7499,7.4251,6.6837,6.6157,7.3586,7.5038,6.9252,7.286
Equal.training.sensitivity.and.specificity.Cloglog.threshold,0.0731,0.0875,0.0768,0.0915,0.0813,0.072,0.0735,0.0892,0.0827,0.0766,0.0804
Equal.training.sensitivity.and.specificity.area,0.0938,0.093,0.0942,0.0885,0.0915,0.097,0.0922,0.0923,0.092,0.0955,0.093
Equal.training.sensitivity.and.specificity.training.omission,0.0938,0.0938,0.0938,0.0885,0.092,0.0972,0.092,0.092,0.092,0.0955,0.0931
Equal.training.sensitivity.and.specificity.test.omission,0.1181,0.0833,0.1181,0.1042,0.1667,0.1319,0.1667,0.1042,0.1111,0.1111,0.1215
Equal.training.sensitivity.and.specificity.binomial.probability,0,0,0,0,0,0,0,0,0,0,0
Maximum.training.sensitivity.plus.specificity.cumulative.threshold,4.871,6.1507,3.4945,7.2738,4.6157,4.7986,4.1354,4.4817,4.6391,4.8935,4.9354
Maximum.training.sensitivity.plus.specificity.Cloglog.threshold,0.0502,0.0664,0.0397,0.0759,0.0492,0.0502,0.0458,0.055,0.0512,0.0533,0.0537
Maximum.training.sensitivity.plus.specificity.area,0.1118,0.1074,0.1276,0.099,0.1165,0.1147,0.1156,0.1172,0.1177,0.1138,0.1141
